60
(
(0.0 (0.000000 0.000000 0.000000))
(0.1 (71.280100 0.000012 123.443000))
(0.2 (143.281000 0.000047 248.113000))
(0.3 (215.283000 0.000107 372.763000))
(0.4 (287.288000 0.000191 497.393000))
(0.5 (359.295000 0.000298 622.003000))
(0.6 (431.306000 0.000430 746.593000))
(0.7 (503.321000 0.000585 871.163000))
(0.8 (575.341000 0.000764 995.714000))
(0.9 (647.367000 0.000967 1120.250000))
(1.0 (719.399000 0.001194 1244.760000))
(1.1 (792.162000 0.001443 1370.490000))
(1.2 (864.942000 0.001709 1496.170000))
(1.3 (937.739000 0.001989 1621.820000))
(1.4 (1010.560000 0.002283 1747.440000))
(1.5 (1083.390000 0.002589 1873.010000))
(1.6 (1156.250000 0.002903 1998.550000))
(1.7 (1229.140000 0.003223 2124.050000))
(1.8 (1302.040000 0.003547 2249.510000))
(1.9 (1374.980000 0.003872 2374.940000))
(2.0 (1447.940000 0.004195 2500.340000))
(2.1 (1520.960000 0.004451 2625.680000))
(2.2 (1594.070000 0.004587 2750.930000))
(2.3 (1667.260000 0.004549 2876.100000))
(2.4 (1740.550000 0.004299 3001.190000))
(2.5 (1813.940000 0.003835 3126.200000))
(2.6 (1887.440000 0.003090 3251.130000))
(2.7 (1961.050000 0.001980 3375.980000))
(2.8 (2034.790000 0.000657 3500.750000))
(2.9 (2108.670000 -0.001019 3625.440000))
(3.0 (2182.700000 -0.003435 3750.040000))
(3.1 (2256.950000 -0.005821 3874.540000))
(3.2 (2331.450000 -0.009019 3998.940000))
(3.3 (2406.190000 -0.011316 4123.250000))
(3.4 (2481.130000 -0.014637 4247.500000))
(3.5 (2556.200000 -0.017796 4371.720000))
(3.6 (2631.380000 -0.017899 4495.940000))
(3.7 (2706.630000 -0.014554 4620.140000))
(3.8 (2781.970000 -0.008470 4744.320000))
(3.9 (2857.360000 -0.002789 4868.500000))
(4.0 (2932.090000 0.001681 4991.460000))
(4.1 (3007.000000 0.006836 5114.420000))
(4.2 (3082.100000 0.013191 5237.370000))
(4.3 (3157.380000 0.016803 5360.310000))
(4.4 (3232.850000 0.016089 5483.250000))
(4.5 (3308.500000 0.013858 5606.190000))
(4.6 (3384.350000 0.011102 5729.130000))
(4.7 (3460.390000 0.008057 5852.070000))
(4.8 (3536.630000 0.005676 5975.030000))
(4.9 (3613.070000 0.005018 6098.010000))
(5.0 (3689.720000 0.005335 6221.010000))
(5.1 (3766.620000 0.005548 6344.060000))
(5.2 (3843.770000 0.004237 6467.170000))
(5.3 (3921.170000 0.001484 6590.350000))
(5.4 (3998.810000 -0.002045 6713.610000))
(5.5 (4076.690000 -0.005968 6836.960000))
(5.6 (4154.810000 -0.010135 6960.410000))
(5.7 (4233.150000 -0.015942 7083.970000))
(5.8 (4311.730000 -0.024320 7207.660000))
(5.9 (4390.540000 -0.034896 7331.470000))
)
