60
(
(4.7 ((0.423029 0.002536 -0.906089)(-0.003363 0.999994 0.001229)(0.906086 0.002527 0.423034)))
(4.8 ((0.387188 0.003086 -0.921971)(-0.004279 0.999990 0.001551)(0.921967 0.003344 0.387198)))
(4.9 ((0.351568 0.003426 -0.936133)(-0.005008 0.999986 0.001778)(0.936126 0.004064 0.351580)))
(5.0 ((0.316233 0.003581 -0.948652)(-0.005574 0.999983 0.001917)(0.948642 0.004682 0.316247)))
(5.1 ((0.281131 0.003591 -0.959640)(-0.006012 0.999980 0.001981)(0.959628 0.005212 0.281147)))
(5.2 ((0.246054 0.003571 -0.969227)(-0.006415 0.999977 0.002056)(0.969213 0.005712 0.246071)))
(5.3 ((0.210831 0.003525 -0.977494)(-0.006815 0.999974 0.002136)(0.977476 0.006212 0.210849)))
(5.4 ((0.175282 0.003375 -0.984490)(-0.007210 0.999972 0.002144)(0.984470 0.006722 0.175301)))
(5.5 ((0.139286 0.003059 -0.990226)(-0.007612 0.999969 0.002018)(0.990201 0.007257 0.139305)))
(5.6 ((0.102800 0.002570 -0.994676)(-0.008017 0.999966 0.001755)(0.994648 0.007795 0.102817)))
(5.7 ((0.065792 0.002000 -0.997809)(-0.008486 0.999963 0.001444)(0.997775 0.008373 0.065806)))
(5.8 ((0.028281 0.001418 -0.999577)(-0.009065 0.999958 0.001162)(0.999537 0.009029 0.028293)))
(5.9 ((-0.009651 0.000802 -0.999931)(-0.009747 0.999952 0.000896)(0.999884 0.009756 -0.009643)))
)
